"AMR-Details.81779.patient.2024.amr.0.96825"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95767"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96432"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.97222"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.99729"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.101314"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95773"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95394"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95769"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.98411"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95109"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95774"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95527"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95107"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.99199"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.111215"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96559"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.98282"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95371"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.98673"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.103426"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95635"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96563"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.104745"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.98150"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95114"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95373"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96054"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.97620"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95639"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.99864"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.98147"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95508"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95377"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95261"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96955"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95111"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95521"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95899"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96691"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95389"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96446"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.99088"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95901"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.96582"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95505"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.99204"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.95922"|"Parameters"
"AMR-Details.81779.patient.2024.amr.0.97504"|"Parameters"
