"1"|"patient.2024.aab.0.95883"|"Address1 Address2"|"City"|"AB"|"99999"
"2"|"patient.2024.aab.0.95059"|"Address1 Address2"|"City"|"AB"|"99999"
"3"|"patient.2024.aab.0.95945"|"Address1 Address2"|"City"|"AB"|"99999"
"4"|"patient.2024.aab.0.96138"|"Address1 Address2"|"City"|"AB"|"99999"
"5"|"patient.2024.aab.0.96193"|"Address1 Address2"|"City"|"AB"|"99999"
"6"|"patient.2024.aab.0.95779"|"Address1 Address2"|"City"|"AB"|"99999"
"7"|"patient.2024.aab.0.95764"|"Address1 Address2"|"City"|"AB"|"99999"
"8"|"patient.2024.aab.0.95778"|"Address1 Address2"|"City"|"AB"|"99999"
"9"|"patient.2024.aab.0.95954"|"Address1 Address2"|"City"|"AB"|"99999"
"10"|"patient.2024.aab.0.95774"|"Address1 Address2"|"City"|"AB"|"99999"
"11"|"patient.2024.aab.0.96732"|"Address1 Address2"|"City"|"AB"|"99999"
"12"|"patient.2024.aab.0.95765"|"Address1 Address2"|"City"|"AB"|"99999"
"13"|"patient.2024.aab.0.96252"|"Address1 Address2"|"City"|"AB"|"99999"
"14"|"patient.2024.aab.0.95834"|"Address1 Address2"|"City"|"AB"|"99999"
"15"|"patient.2024.aab.0.95881"|"Address1 Address2"|"City"|"AB"|"99999"
"16"|"patient.2024.aab.0.96198"|"Address1 Address2"|"City"|"AB"|"99999"
"17"|"patient.2024.aab.0.95769"|"Address1 Address2"|"City"|"AB"|"99999"
"18"|"patient.2024.aab.0.96011"|"Address1 Address2"|"City"|"AB"|"99999"
"19"|"patient.2024.aab.0.95825"|"Address1 Address2"|"City"|"AB"|"99999"
"20"|"patient.2024.aab.0.95941"|"Address1 Address2"|"City"|"AB"|"99999"
"21"|"patient.2024.aab.0.95763"|"Address1 Address2"|"City"|"AB"|"99999"
"22"|"patient.2024.aab.0.96012"|"Address1 Address2"|"City"|"AB"|"99999"
"23"|"patient.2024.aab.0.95892"|"Address1 Address2"|"City"|"AB"|"99999"
"24"|"patient.2024.aab.0.95768"|"Address1 Address2"|"City"|"AB"|"99999"
"25"|"patient.2024.aab.0.96257"|"Address1 Address2"|"City"|"AB"|"99999"
"26"|"patient.2024.aab.0.95766"|"Address1 Address2"|"City"|"AB"|"99999"
"27"|"patient.2024.aab.0.95772"|"Address1 Address2"|"City"|"AB"|"99999"
"28"|"patient.2024.aab.0.95891"|"Address1 Address2"|"City"|"AB"|"99999"
"29"|"patient.2024.aab.0.95762"|"Address1 Address2"|"City"|"AB"|"99999"
"30"|"patient.2024.aab.0.95771"|"Address1 Address2"|"City"|"AB"|"99999"
"31"|"patient.2024.aab.0.96132"|"Address1 Address2"|"City"|"AB"|"99999"
"32"|"patient.2024.aab.0.96014"|"Address1 Address2"|"City"|"AB"|"99999"
"33"|"patient.2024.aab.0.96317"|"Address1 Address2"|"City"|"AB"|"99999"
"34"|"patient.2024.aab.0.95767"|"Address1 Address2"|"City"|"AB"|"99999"
"35"|"patient.2024.aab.0.96002"|"Address1 Address2"|"City"|"AB"|"99999"
"36"|"patient.2024.aab.0.95952"|"Address1 Address2"|"City"|"AB"|"99999"
"37"|"patient.2024.aab.0.96061"|"Address1 Address2"|"City"|"AB"|"99999"
"38"|"patient.2024.aab.0.96612"|"Address1 Address2"|"City"|"AB"|"99999"
"39"|"patient.2024.aab.0.95897"|"Address1 Address2"|"City"|"AB"|"99999"
